matrix,np,threads,mode,total_time,compute_time,comm_time,gflops,log
bcsstk08,1,1,naive,0.000078,0.000072,0.000006,1.8091,results/bcsstk08_naive_np1_t1.log
bcsstk08,1,1,metis,NA,NA,NA,NA,results/bcsstk08_metis_np1_t1.log
bcsstk08,1,1,balanced,0.000223,0.000149,0.000002,0.8690,results/bcsstk08_balanced_np1_t1.log
bcsstk08,1,2,naive,0.000191,0.000182,0.000008,0.7129,results/bcsstk08_naive_np1_t2.log
bcsstk08,1,2,metis,NA,NA,NA,NA,results/bcsstk08_metis_np1_t2.log
bcsstk08,1,2,balanced,0.000411,0.000326,0.000012,0.3971,results/bcsstk08_balanced_np1_t2.log
bcsstk08,1,4,naive,0.000303,0.000297,0.000006,0.4364,results/bcsstk08_naive_np1_t4.log
bcsstk08,1,4,metis,NA,NA,NA,NA,results/bcsstk08_metis_np1_t4.log
bcsstk08,1,4,balanced,0.000980,0.000859,0.000003,0.1509,results/bcsstk08_balanced_np1_t4.log
bcsstk08,2,1,naive,0.000125,0.000039,0.000083,3.3009,results/bcsstk08_naive_np2_t1.log
bcsstk08,2,1,metis,0.000076,0.000031,0.000043,4.1357,results/bcsstk08_metis_np2_t1.log
bcsstk08,2,1,balanced,0.000401,0.000094,0.000027,1.3823,results/bcsstk08_balanced_np2_t1.log
bcsstk08,2,2,naive,0.000187,0.000140,0.000046,0.9273,results/bcsstk08_naive_np2_t2.log
bcsstk08,2,2,metis,0.000276,0.000161,0.000111,0.8056,results/bcsstk08_metis_np2_t2.log
bcsstk08,2,2,balanced,0.001138,0.000517,0.000328,0.2506,results/bcsstk08_balanced_np2_t2.log
bcsstk08,2,4,naive,0.000455,0.000391,0.000068,0.3311,results/bcsstk08_naive_np2_t4.log
bcsstk08,2,4,metis,0.000356,0.000308,0.000047,0.4212,results/bcsstk08_metis_np2_t4.log
bcsstk08,2,4,balanced,0.006179,0.001618,0.004193,0.0801,results/bcsstk08_balanced_np2_t4.log
bcsstk08,4,1,naive,NA,NA,NA,NA,results/bcsstk08_naive_np4_t1.log
bcsstk08,4,1,metis,NA,NA,NA,NA,results/bcsstk08_metis_np4_t1.log
bcsstk08,4,1,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np4_t1.log
bcsstk08,4,2,naive,NA,NA,NA,NA,results/bcsstk08_naive_np4_t2.log
bcsstk08,4,2,metis,NA,NA,NA,NA,results/bcsstk08_metis_np4_t2.log
bcsstk08,4,2,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np4_t2.log
bcsstk08,4,4,naive,NA,NA,NA,NA,results/bcsstk08_naive_np4_t4.log
bcsstk08,4,4,metis,NA,NA,NA,NA,results/bcsstk08_metis_np4_t4.log
bcsstk08,4,4,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np4_t4.log
bcsstk08,8,1,naive,NA,NA,NA,NA,results/bcsstk08_naive_np8_t1.log
bcsstk08,8,1,metis,NA,NA,NA,NA,results/bcsstk08_metis_np8_t1.log
bcsstk08,8,1,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np8_t1.log
bcsstk08,8,2,naive,NA,NA,NA,NA,results/bcsstk08_naive_np8_t2.log
bcsstk08,8,2,metis,NA,NA,NA,NA,results/bcsstk08_metis_np8_t2.log
bcsstk08,8,2,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np8_t2.log
bcsstk08,8,4,naive,NA,NA,NA,NA,results/bcsstk08_naive_np8_t4.log
bcsstk08,8,4,metis,NA,NA,NA,NA,results/bcsstk08_metis_np8_t4.log
bcsstk08,8,4,balanced,NA,NA,NA,NA,results/bcsstk08_balanced_np8_t4.log
bcsstk10,1,1,naive,0.000073,0.000065,0.000008,3.4063,results/bcsstk10_naive_np1_t1.log
bcsstk10,1,1,metis,NA,NA,NA,NA,results/bcsstk10_metis_np1_t1.log
bcsstk10,1,1,balanced,0.000265,0.000182,0.000003,1.2130,results/bcsstk10_balanced_np1_t1.log
bcsstk10,1,2,naive,0.000421,0.000410,0.000010,0.5386,results/bcsstk10_naive_np1_t2.log
bcsstk10,1,2,metis,NA,NA,NA,NA,results/bcsstk10_metis_np1_t2.log
bcsstk10,1,2,balanced,0.000344,0.000282,0.000002,0.7820,results/bcsstk10_balanced_np1_t2.log
bcsstk10,1,4,naive,0.000337,0.000329,0.000008,0.6711,results/bcsstk10_naive_np1_t4.log
bcsstk10,1,4,metis,NA,NA,NA,NA,results/bcsstk10_metis_np1_t4.log
bcsstk10,1,4,balanced,0.000605,0.000540,0.000002,0.4090,results/bcsstk10_balanced_np1_t4.log
bcsstk10,2,1,naive,0.000093,0.000036,0.000055,6.1612,results/bcsstk10_naive_np2_t1.log
bcsstk10,2,1,metis,0.009140,0.000043,0.009095,5.0827,results/bcsstk10_metis_np2_t1.log
bcsstk10,2,1,balanced,0.000261,0.000149,0.000021,1.4806,results/bcsstk10_balanced_np2_t1.log
bcsstk10,2,2,naive,0.003465,0.000167,0.003306,1.3203,results/bcsstk10_naive_np2_t2.log
bcsstk10,2,2,metis,0.007686,0.000171,0.007534,1.2908,results/bcsstk10_metis_np2_t2.log
bcsstk10,2,2,balanced,0.000335,0.000230,0.000019,0.9612,results/bcsstk10_balanced_np2_t2.log
bcsstk10,2,4,naive,0.000401,0.000344,0.000079,0.6408,results/bcsstk10_naive_np2_t4.log
bcsstk10,2,4,metis,0.007277,0.003022,0.006188,0.0730,results/bcsstk10_metis_np2_t4.log
bcsstk10,2,4,balanced,0.000723,0.000613,0.000157,0.3599,results/bcsstk10_balanced_np2_t4.log
bcsstk10,4,1,naive,NA,NA,NA,NA,results/bcsstk10_naive_np4_t1.log
bcsstk10,4,1,metis,NA,NA,NA,NA,results/bcsstk10_metis_np4_t1.log
bcsstk10,4,1,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np4_t1.log
bcsstk10,4,2,naive,NA,NA,NA,NA,results/bcsstk10_naive_np4_t2.log
bcsstk10,4,2,metis,NA,NA,NA,NA,results/bcsstk10_metis_np4_t2.log
bcsstk10,4,2,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np4_t2.log
bcsstk10,4,4,naive,NA,NA,NA,NA,results/bcsstk10_naive_np4_t4.log
bcsstk10,4,4,metis,NA,NA,NA,NA,results/bcsstk10_metis_np4_t4.log
bcsstk10,4,4,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np4_t4.log
bcsstk10,8,1,naive,NA,NA,NA,NA,results/bcsstk10_naive_np8_t1.log
bcsstk10,8,1,metis,NA,NA,NA,NA,results/bcsstk10_metis_np8_t1.log
bcsstk10,8,1,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np8_t1.log
bcsstk10,8,2,naive,NA,NA,NA,NA,results/bcsstk10_naive_np8_t2.log
bcsstk10,8,2,metis,NA,NA,NA,NA,results/bcsstk10_metis_np8_t2.log
bcsstk10,8,2,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np8_t2.log
bcsstk10,8,4,naive,NA,NA,NA,NA,results/bcsstk10_naive_np8_t4.log
bcsstk10,8,4,metis,NA,NA,NA,NA,results/bcsstk10_metis_np8_t4.log
bcsstk10,8,4,balanced,NA,NA,NA,NA,results/bcsstk10_balanced_np8_t4.log
bcsstk13,1,1,naive,0.000233,0.000223,0.000010,3.7634,results/bcsstk13_naive_np1_t1.log
bcsstk13,1,1,metis,NA,NA,NA,NA,results/bcsstk13_metis_np1_t1.log
bcsstk13,1,1,balanced,0.001680,0.001348,0.000004,0.6223,results/bcsstk13_balanced_np1_t1.log
bcsstk13,1,2,naive,0.000341,0.000328,0.000011,2.5540,results/bcsstk13_naive_np1_t2.log
bcsstk13,1,2,metis,NA,NA,NA,NA,results/bcsstk13_metis_np1_t2.log
bcsstk13,1,2,balanced,0.001315,0.001037,0.000005,0.8087,results/bcsstk13_balanced_np1_t2.log
bcsstk13,1,4,naive,0.000703,0.000688,0.000013,1.2194,results/bcsstk13_naive_np1_t4.log
bcsstk13,1,4,metis,NA,NA,NA,NA,results/bcsstk13_metis_np1_t4.log
bcsstk13,1,4,balanced,0.001375,0.001062,0.000003,0.7895,results/bcsstk13_balanced_np1_t4.log
bcsstk13,2,1,naive,0.012063,0.000198,0.011885,4.2303,results/bcsstk13_naive_np2_t1.log
bcsstk13,2,1,metis,0.017423,0.000183,0.017230,4.5912,results/bcsstk13_metis_np2_t1.log
